Subject,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
33,2,A,2,A,1,A,1,A,1,A,1,A,1,A,1,A,1,1,13,0,0,0,20,0,0,0,14,0,-0.16366,1.20017,-1.21317,0.11215,1.2911,-0.61182,0.87,9,13,13,0,0,0,14,54,56,37,32,37,100,3,5,1,1,3,2,5,1,5,5,6,1,7,3,1,2,2,2,4,1,2,3,1,2,4,1,Bass guitar,19,MALE,1,6,5,7,6,6,6,7,6,5,6,6,6,6,6,7,7,6,6,6,7,5,6,3,5,5,6,5,5,7,2,5,2,6,6,6,6,6,7
34,1,B,2,B,2,B,1,B,1,B,2,B,2,B,2,B,0,0,11,0,0,0,16,0,0,0,7,0,-0.73649,0.59793,-1.21317,-0.63554,-0.8177,-0.61182,-0.29,5,11,11,0,0,0,7,49,50,43,28,40,98,7,7,1,4,4,7,6,2,6,6,6,6,6,7,2,8,8,2,5,2,2,5,2,2,2,2,Bb Clarinetn,19,FEMALE,1,7,2,6,6,7,7,6,5,3,5,5,5,6,5,7,7,5,5,7,7,7,6,4,7,5,4,6,6,3,5,3,1,7,7,6,6,7,7
35,2,A,2,A,2,A,2,A,2,A,1,A,1,A,1,A,1,1,14,0,1,1,24,0,0,0,14,0,-0.16366,1.50129,-0.46824,0.85985,1.2911,-0.61182,1.22,14,14,14,0,0,0,14,45,56,40,40,38,104,4,5,5,4,4,5,5,3,5,5,5,5,5,5,1,3,3,2,4,1,2,4,1,2,4,1,voice,21,FEMALE,1,6,4,6,5,3,6,6,6,3,6,6,7,6,6,6,6,7,6,6,6,7,5,4,7,5,6,6,6,6,5,6,5,7,6,6,6,6,7
36,2,B,2,B,1,B,1,B,2,B,2,B,2,B,1,B,0,0,10,0,0,0,24,0,1,0,10,1,-0.73649,0.29682,-1.21317,0.85985,0.08607,0.02739,0.41,5,10,10,1,1,0,10,57,51,39,42,36,107,7,5,4,6,7,6,6,5,7,6,7,5,4,6,5,8,8,2,4,1,2,4,1,2,4,1,Voice,20,FEMALE,1,7,6,6,6,6,6,6,7,7,7,5,6,6,3,6,6,6,6,6,6,6,5,4,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6
37,2,A,1,A,2,A,1,A,1,A,2,A,1,A,1,A,0,0,11,0,1,1,24,0,1,0,11,1,-0.73649,0.59793,-0.46824,0.85985,0.38733,0.02739,0.62,5,11,11,1,1,0,11,43,49,40,29,35,92,6,5,2,5,3,7,7,4,3,6,5,4,2,6,5,6,7,2,4,1,2,4,1,2,4,1,Tuba,19,MALE,1,6,3,5,5,5,6,5,5,3,5,4,6,6,5,6,6,6,5,6,7,6,6,4,6,5,4,3,6,3,5,4,4,6,6,6,5,5,7
38,1,B,1,B,1,B,1,B,2,B,2,B,2,B,2,B,2,2,14,0,2,3,24,1,0,1,12,1,0.40916,1.50129,1.02162,0.85985,0.68859,0.02739,1.02,14,14,14,1,0,1,12,55,52,41,38,40,101,7,7,4,5,7,6,7,4,7,7,7,5,6,6,6,8,8,2,3,4,2,3,4,2,3,4,Saxophone,19,Male,1,7,4,7,7,6,7,6,7,4,7,6,7,1,7,7,6,5,6,7,7,7,5,5,7,3,5,6,6,6,6,6,3,7,7,7,6,7,6
39,2,A,1,A,2,A,1,A,2,A,2,A,1,A,1,A,0,0,14,0,2,2,22,0,1,0,11,1,-0.73649,1.50129,0.27669,0.486,0.38733,0.02739,0.79,14,14,14,1,1,0,11,59,63,41,42,41,118,7,5,4,5,5,7,6,1,6,7,4,4,3,5,1,8,4,2,3,1,2,3,1,2,3,1,piano,23,male,1,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,4,7,7,7,7,4,5,5,7,7,7,7,6,7
40,1,B,1,B,2,B,1,B,1,B,2,B,1,B,1,B,3,3,8,0,0,0,17,0,1,0,14,1,0.98198,-0.30542,-1.21317,-0.44862,1.2911,0.02739,0.18,2,8,8,1,1,0,14,43,51,35,42,36,105,5,6,4,4,4,5,7,5,7,7,5,4,3,5,2,2,2,2,3,3,2,3,3,2,3,3,voice,20,FEMALE,1,6,2,5,7,2,7,5,7,2,5,5,5,6,4,7,7,7,5,7,7,7,3,4,4,3,5,7,7,7,7,5,4,7,6,5,5,6,7
41,1,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,6,0,1,1,25,0,1,0,13,1,-0.73649,-0.90765,-0.46824,1.04677,0.98984,0.02739,0.38,2,6,6,1,1,0,13,52,61,37,37,41,107,7,6,5,5,6,6,6,6,6,6,6,7,1,7,6,8,8,2,3,1,2,3,1,2,3,1,Trumpetn,18,FEMALE,1,7,3,6,7,7,6,7,7,2,6,7,7,7,7,7,7,6,7,7,7,6,7,3,5,2,6,6,7,5,7,5,1,7,7,7,6,7,7
42,1,B,1,B,1,B,1,B,2,B,2,B,1,B,2,B,1,1,13,0,0,0,25,0,0,0,14,0,-0.16366,1.20017,-1.21317,1.04677,1.2911,-0.61182,1.18,12,13,13,0,0,0,14,43,42,31,23,38,75,7,3,1,3,5,1,5,4,7,5,6,7,1,7,5,8,6,2,5,1,2,5,1,2,3,1,flute,20,MALE,1,6,2,4,4,6,7,5,7,2,5,5,6,5,5,6,4,1,5,6,6,6,4,3,4,2,5,6,4,2,1,3,2,7,7,6,5,6,7
