X,Subject,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,Melody,AscendingDescending,Condition,cadence_type,change
157,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel6P021.aif,1,A,ascending,no_change
158,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel8P021.aif,2,A,ascending,change
159,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel2P021.aif,2,A,descending,no_change
160,21,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,mel3P021.aif,2,A,descending,no_change
161,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel6P022.aif,1,B,descending,change
163,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel5P022.aif,1,B,descending,change
164,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel7P022.aif,2,B,descending,no_change
165,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel2P022.aif,2,B,ascending,change
166,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel8P022.aif,2,B,descending,no_change
167,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel3P022.aif,1,B,ascending,no_change
168,22,0,2,10,2,2,2,20,0,0,0,13,0,0.40916,0.29682,0.27669,0.11215,0.98984,-0.61182,mel4P022.aif,1,B,ascending,no_change
169,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel4P023.aif,2,A,descending,no_change
170,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel8P023.aif,1,A,ascending,no_change
171,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel1P023.aif,2,A,descending,no_change
172,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel3P023.aif,2,A,descending,no_change
173,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel7P023.aif,2,A,ascending,change
174,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel2P023.aif,2,A,descending,no_change
175,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel6P023.aif,1,A,ascending,no_change
176,23,2,2,3,0,1,1,20,0,0,0,6,0,0.40916,-1.81101,-0.46824,0.11215,-1.11895,-0.61182,mel5P023.aif,2,A,ascending,change
177,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel7P024.aif,1,B,descending,change
178,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel4P024.aif,1,B,ascending,no_change
179,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel2P024.aif,1,B,ascending,no_change
181,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel3P024.aif,1,B,ascending,no_change
182,24,4,4,10,0,0,1,23,1,0,0,11,0,1.5548,0.29682,-0.46824,0.67292,0.38733,-0.61182,mel8P024.aif,2,B,descending,no_change
