melodyFile,em3,em2,em1,emVector,emAscDesc,melody,coder
mel8P026.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P027.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P028.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P029.aif,sol,la,sol,10,2,Mel8,Elizabeth
mel8P030.aif,mi,re,do,210,2,Mel8,Elizabeth
mel8P031.aif,mi,re,do,210,2,Mel8,Elizabeth
mel8P032.aif,,,,102,1,Mel8,Elizabeth
mel8P033.aif,do,sol,do,101,1,Mel8,Elizabeth
mel8P034.aif,,,,21,2,Mel8,Elizabeth
mel8P035.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P036.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P037.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P038.aif,do,re,do,10,2,Mel8,Elizabeth
mel8P039.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P040.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P041.aif,ti,do,re,12,1,Mel8,Elizabeth
mel8P042.aif,,,,120,2,Mel8,Elizabeth
mel8P201.aif,do,re,do,10,2,Mel8,Elizabeth
mel8P202.aif,mi,re,do,210,2,Mel8,Elizabeth
mel8P203.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P205.aif,do,re,do,10,2,Mel8,Elizabeth
mel8P207.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P208.aif,ti,sol,la,201,1,Mel8,Elizabeth
mel8P209.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P210.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P211.aif,ti,la,sol,210,2,Mel8,Elizabeth
mel8P212.aif,,,,210,2,Mel8,Elizabeth
mel8P213.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P214.aif,do,re,do,10,2,Mel8,Elizabeth
mel8P215.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P216.aif,sol,la,do,12,1,Mel8,Elizabeth
mel8P217.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P218.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P219.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P220.aif,la,sol,mi,210,2,Mel8,Elizabeth
mel8P221.aif,mi,do,fa,102,1,Mel8,Elizabeth
mel8P223.aif,re,do,sol,210,2,Mel8,Elizabeth
mel8P224.aif,,,,,,Mel8,Elizabeth
mel8P225.aif,,,,,,Mel8,Elizabeth
mel8P227.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P228.aif,sol,la,do,12,1,Mel8,Elizabeth
mel8P229.aif,do,la,ti,201,1,Mel8,Elizabeth
mel8P230.aif,la,sol,do,102,1,Mel8,Elizabeth
